N_cluster	n_traits	study_ids	traits	EFOs	h2s	intercepts	alfa	expected_h2_gip1	expected_rgs	ChatGPT_name	intercept_min	intercept_max	GIP1_intecept
./232	9	GCST90002385;GCST004622;GCST004611;GCST90002405;GCST004612;GCST90002406;GCST90025972;GCST90025970;GCST90002386	High light scatter reticulocyte count;Reticulocyte count;High light scatter reticulocyte count;Reticulocyte count;High light scatter reticulocyte percentage of red cells;Reticulocyte fraction of red cells;Reticulocyte count;High light scatter reticulocyte count;High light scatter reticulocyte percentage of red cells	EFO_0007986;EFO_0010700	0.22;0.1762;0.1756;0.2127;0.1772;0.2097;0.3658;0.3884;0.2185	1.2759;1.0142;1.009;1.274;1.0034;1.2531;1.2282;1.241;1.2623	0.134320362847063;0.119484282261544;0.119043303939485;0.130432229283663;0.11753900535281;0.129369252789721;0.171350190039758;0.178437155870101;0.132364784531598	0.360972169	0.995831225378078;0.989835558314692;0.987865776534618;0.983459310444387;0.970969026965135;0.98239711533068;0.985185392558471;0.99563672080905;0.984695516264272	Reticulocyte count	1.0034	1.2759	1.2358
./237	4	GCST90025950;NEALE2_30130_raw;GCST90002340;GCST004625	Monocyte count;Monocyte count;Monocyte count;Monocyte count	EFO_0005091	0.3511;0.0997;0.2255;0.1975	1.2814;1.1227;1.3608;1.0306	0.412710636534063;0.217250929743615;0.329760267846007;0.309982936468872	0.367140177	0.999226979278408;0.9870700373073;0.996228492446904;1.00066369275498	Monocyte count	1.0306	1.3608	1.2825
./24	2	FINNGEN_R6_K11_HERING;SAIGE_550_1	Inguinal hernia;Inguinal hernia	HP_0000023	0.0272;0.0236	1.0717;1.0023	0.712452608633672;0.663632322606897	0.048158226	1;1	Inguinal hernia	1.0023	1.0717	1.0146
./242	7	NEALE2_6152_8;GCST90014325;GCST90038616;GCST90038596;NEALE2_22127;NEALE2_20002_1111;NEALE2_20003_1140861998	Asthma | blood clot, dvt, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor;Asthma;Asthma;Respiratory or ear-nose-throat disease;Doctor diagnosed asthma;Asthma | non-cancer illness code, self-reported;Ventolin 100micrograms inhaler | treatment/medication code	EFO_0000270;MONDO_0004979;MONDO_0024623;EFO_0007010	0.0509;0.0443;0.048;0.0376;0.0623;0.0517;0.0164	1.0569;0.9763;1.0737;1.0445;1.0052;1.0564;1.0141	0.199993858390874;0.187229706066969;0.19573234746096;0.172134271908148;0.220630730288829;0.201892251033132;0.113967928367014	0.075585563	0.993037281281464;0.996507743541386;1.00080570295176;0.994446010636248;0.990215601401807;0.994677202356258;0.996938838419335	Asthma	0.9763	1.0737	1.1121
./249	2	NEALE2_2000;GCST006946	Worry too long after embarrassment;Worry too long after an embarrassing experience	EFO_0009589	0.0629;0.0596	1.0214;1.0245	0.525259852922347;0.511283144994191	0.065790677	0.999786941848827;0.999762680583335	Post-embarrassment worry	1.0214	1.0245	1.0361
./25	2	GCST90000045;GCST90000047	Age at first sexual intercourse;Age at first sexual intercourse	EFO_0009749	0.1602;0.1461	1.0453;1.0785	0.562422593328559;0.535780280267237	0.180131104	0.988405551286425;0.985973608364495	Sexual behavior	1.0453	1.0785	1.1097
./250	5	GCST90025985;GCST90002374;GCST004610;NEALE2_30000_raw;GCST90002407	White blood cell count;White blood cell count;White blood cell count;White blood cell (leukocyte) count;White blood cell count	EFO_0004308;EFO_0007988	0.2901;0.1771;0.1721;0.1191;0.1975	1.2466;1.3485;0.9844;1.1385;1.2946	0.308290101909525;0.239545309925247;0.237858476855151;0.188432587112099;0.253968161886367	0.290050329	0.997591142327608;0.992076720960487;0.999298109510434;0.951627530356827;0.996007464470323	White blood cell count	0.9844	1.3485	1.2856
./253	4	GCST90002328;GCST90002391;NEALE2_30060_raw;GCST004605	Mean corpuscular hemoglobin concentration;Mean corpuscular hemoglobin concentration;Mean corpuscular haemoglobin concentration;Mean corpuscular hemoglobin concentration	EFO_0004528	0.0877;0.0906;0.0397;0.0926	1.1264;1.1164;1.0358;0.9866	0.33815260783663;0.344138127296195;0.224601627079731;0.347621324462228	0.124723468	0.99801279221339;0.999290723473224;0.985237215879461;0.998444847616688	Mean corpuscular hemoglobin concentration	0.9866	1.1264	1.1398
./256	3	NEALE2_4631;NEALE2_4598;NEALE2_20126_0	Ever unenthusiastic/disinterested for a whole week;Ever depressed for a whole week;No bipolar or depression | bipolar and major depression status	EFO_0007006;EFO_0007704;	0.0549;0.0637;0.0639	1.003;0.9909;1.0015	0.385691970547939;0.417135768446152;-0.410631702295006	0.085859975	0.981597095867317;0.985567909873775;-0.968681232696855	Depression symptoms	0.9909	1.003	1.0648
./258	2	NEALE2_1990;GCST006952	Tense / 'highly strung';Feeling tense	EFO_0009596	0.0554;0.0531	1.0004;1.0011	0.524933170965593;0.51387838474917	0.058435282	0.999065541663579;0.998982626236875	Tension	1.0004	1.0011	1.0117
./26	10	NEALE2_23116_raw;NEALE2_23120_raw;FINNGEN_R6_E4_OBESITYNAS;NEALE2_23128_raw;NEALE2_23098_raw;NEALE2_48_raw;NEALE2_23112_raw;FINNGEN_R6_E4_OBESITYCAL;NEALE2_49_raw;NEALE2_23100_raw	"Leg fat mass (left);Arm fat mass (right);""""Obesity, other/unspecified"""";Trunk fat mass;Weight;Waist circumference;Leg fat mass (right);Obesity due to excess calories;Hip circumference;Whole body fat mass"	EFO_0004995;EFO_0001073;EFO_0005409;EFO_0004338;EFO_0004342;EFO_0005093	0.2026;0.194;0.0176;0.218;0.2399;0.1932;0.2023;0.0186;0.1972;0.2164	1.1059;1.0953;1.0514;1.1316;1.153;1.101;1.1062;1.0622;1.1273;1.1231	0.133322987589436;0.130447979882703;0.0397326111707071;0.136855796299292;0.14005451543093;0.127005714030751;0.133164442384056;0.0397251805278702;0.127528040940401;0.138501271341479	0.236749529	0.989831229534385;0.989719958694023;1.0008445038881;0.979514308517298;0.955559702538857;0.965596170512817;0.989386929573477;0.973386329694364;0.959683588876419;0.994949337120473	Body measurements for obesity	1.0514	1.153	1.1678
./262	2	GCST006620;NEALE2_2178	Self-rated health;Overall health rating	EFO_0004778	0.0967;0.0952	1.0139;1.0468	0.589950912129819;0.585357401447421	0.132542522	1;1	Overall health rating	1.0139	1.0468	1.0595
./264	6	NEALE2_5112_raw;NEALE2_5107_raw;NEALE2_5115_raw;NEALE2_5100_raw;NEALE2_5104_raw;NEALE2_5103_raw	3mm cylindrical power angle (left);3mm strong meridian angle (right);3mm cylindrical power angle (right);3mm weak meridian angle (right);3mm strong meridian angle (left);3mm weak meridian angle (left)	EFO_0007814	0.082;0.047;0.0664;0.0663;0.0594;0.0821	1.0035;1.0159;1.0131;1.0128;1.0002;1.0036	0.267498673159345;0.193982555292547;-0.238909523763237;-0.239196039647549;-0.224127325948162;0.267466431839959	0.133928728	0.990192463510264;0.948459208640961;-0.982775527593094;-0.984695903373664;-0.974779747884902;0.98946996519418	Optical power measurements	1.0002	1.0159	1.064
./266	6	NEALE2_5101_raw;NEALE2_5113_raw;NEALE2_5102_raw;NEALE2_5105_raw;NEALE2_5106_raw;NEALE2_5114_raw	6mm weak meridian angle (right);6mm cylindrical power angle (left);6mm weak meridian angle (left);6mm strong meridian angle (left);6mm strong meridian angle (right);6mm cylindrical power angle (right)	EFO_0007814	0.0685;0.0684;0.0694;0.0659;0.0643;0.0687	1.0047;1.0057;1.005;1.004;1.0012;1.0047	0.250104083311529;-0.251482886459851;-0.252904108867192;0.223483398922767;-0.236476332389677;0.250238601867321	0.138492245	0.992687193536256;-0.998889178504786;-0.997270730099071;0.904356122677397;-0.968766510755259;0.99177432019811	Optical power measurements	1.0012	1.0057	1.065
./269	4	NEALE2_20077;GCST90012790;GCST90012792;NEALE2_110001	Number of diet questionnaires completed;Percentage of invited food questionnaires completed;Acceptance of an invitation to participate in a mental health questionnaire;Invitation to complete online 24-hour recall dietary questionnaire, acceptance	;EFO_0010130	0.0371;0.0649;0.0862;0.0367	1.0133;1.0355;1.0357;1.019	0.283983296030922;0.380207268955157;0.427609173869179;0.285049019542116	0.104966114	0.976223597897367;0.988192442196662;0.964354789652269;0.985212651668944	Diet and questionnaire completion	1.0133	1.0357	1.0799
./270	5	NEALE2_22506_113;NEALE2_22506_114;NEALE2_20116_0;NEALE2_1249;NEALE2_20160	Ex-smoker | tobacco smoking;Never smoked | tobacco smoking;Never | smoking status;Past tobacco smoking;Ever smoked	;EFO_0004318	0.076;0.0923;0.0944;0.0897;0.0732	1.0094;1.0146;1.0475;1.0314;1.0283	0.239830782103898;-0.264584094571149;-0.266059451637247;-0.260266982485384;0.22993627598248	0.132953423	0.994638078359379;-0.995703048043944;-0.990055745694454;-0.99355018697181;0.971670251817981	Smoking status	1.0094	1.0475	1.0733
./278	4	NEALE2_30200_raw;GCST90014287;GCST004633;GCST90002399	Neutrophill percentage;DNA methylation-estimated granulocyte proportions;Neutrophil percentage of white cells;Neutrophil percentage of white cells	EFO_0007990;EFO_0007987	0.1238;0.0928;0.1371;0.1472	1.1363;1.0471;0.971;1.1962	0.361860102656825;0.29307301210331;0.38192142665133;0.395468193156098	0.251373508	0.993332088355492;0.929214386439072;0.996252402864268;0.995569859379724	White blood cell count	0.971	1.1962	1.0729
./28	10	FINNGEN_R6_J10_RESPIRATORY;FINNGEN_R6_G6_EPIPAROX;FINNGEN_R6_RX_PARACETAMOL_NSAID;FINNGEN_R6_K11_GIDISEASES;FINNGEN_R6_M13_DORSOPATHYOTH;FINNGEN_R6_M13_MUSCULOSKELETAL;FINNGEN_R6_PAIN;FINNGEN_R6_R18_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS;SAIGE_564;FINNGEN_R6_JOINTPAIN	"Diseases of the respiratory system;Episodal and paroxysmal disorders;Paracetamol of NSAID medication;Gastrointestinal diseases;""""Other dorsopathies, not elsewhere classified"""";Diseases of the musculoskeletal system and connective tissue;""""Pain (limb, back, neck, head abdominally)"""";Symptoms and signs involving the circulatory and respiratory systems;Functional digestive disorders;Pain in joint"	EFO_0000684;EFO_0000618;GO_1901554;EFO_0010282;EFO_0009676;EFO_0009676, EFO_1001986;EFO_0003766, HP_0009763, HP_0002315;HP_0001626, EFO_0000684;MONDO_0001318;HP_0002829	0.0231;0.0204;0.0248;0.0213;0.0318;0.0326;0.0325;0.021;0.0123;0.0278	1.1176;1.0793;1.1184;1.0774;1.1083;1.1351;1.1382;1.0702;1.0109;1.04	0.181429665410227;0.160295461604289;0.202534427486287;0.176671178612923;0.219778289967444;0.223918382029535;0.231587372753541;0.183267438152056;0.122901462423261;0.209825650537751	0.087894556	0.942137809098618;0.885764490772884;1.01504463348867;0.955406139570798;0.972709938287193;0.978797993818442;1.01387711085493;0.998131553168256;0.874614389237242;0.993226511806809	Multiple medical conditions	1.0109	1.1382	1.1337
./282	4	GCST003499;GCST006268;NEALE2_20023_raw;NEALE2_404_raw	Reaction time;Reaction time;Mean time to correctly identify matches;Duration to first press of snap-button in each round	EFO_0008393;	0.0736;0.0737;0.0644;0.0592	1.009;1.0262;1.021;1.0192	0.312934825047352;0.311746960956423;0.291876264478558;0.278803523954588	0.096667633	1.00167533155148;0.997195875944836;0.998775395004868;0.995060288728797	Reaction time	1.009	1.0262	1.0577
./287	2	GCST006701;GCST006700	Parental longevity (father's attained age);Parental longevity (father's age at death)	EFO_0007796	0.028;0.0227	1.0799;1.0522	0.614554938323074;-0.549768458457395	0.033476854	0.988312305138404;-0.98192744001962	Parental longevity	1.0522	1.0799	1.1191
./290	3	NEALE2_2395_4;GCST006661;NEALE2_2395_1	Pattern 4 | hair/balding pattern;Male-pattern baldness;Pattern 1 | hair/balding pattern	EFO_0007824;Orphanet_79364	0.164;0.2839;0.1861	1.1141;1.0512;1.1242	0.392347042147878;0.521901267605658;-0.418036157417272	0.376241121	0.988679549106702;0.99956892792834;-0.988889470168361	Hair loss pattern	1.0512	1.1242	1.1515
./296	3	GCST004158;NEALE2_20519;NEALE2_2080	Self-reported tiredness;Recent feelings of tiredness or low energy;Frequency of tiredness / lethargy in last 2 weeks	EFO_0007946	0.067;0.0637;0.0582	0.9946;1.0002;1.019	0.480527033128677;0.464209737139939;0.449225736599653	0.120701452	0.995009422698502;0.985805642588115;0.998044503269097	Tiredness/lethargy symptoms	0.9946	1.019	0.992
./299	3	NEALE2_20510;GCST003769;NEALE2_20507	Recent feelings of depression;Depression;Recent feelings of inadequacy	MONDO_0002050;EFO_0003761, EFO_0007006;	0.0405;0.122;0.0349	0.9966;1.0774;1.0076	0.374333405862918;0.682094821961899;0.360213852942775	0.139557523	0.945239499172614;0.99237456513408;0.979847490209915	Depression symptoms	0.9966	1.0774	1.0357
./3	5	NEALE2_30160;GCST90025997;GCST90002379;GCST004618;GCST90002292	Basophill count;Basophil count;Basophil count;White blood cell count (basophil);Basophil count	EFO_0005090	0.0225;0.0562;0.0671;0.0727;0.0633	1.102;1.0472;1.0882;0.9975;1.1054	0.161167033873283;0.261528135467802;0.293295925933706;0.300728796165073;0.283273390700315	0.095705355	0.946786495673391;0.972114364263568;0.997727335265095;0.982822094210304;0.992135584622891	Basophil count	0.9975	1.1054	1.1437
./30	6	GCST90025987;GCST004606;GCST90002381;GCST90002298;NEALE2_30150;GCST004624	Eosinophil counts;Eosinophil counts;Eosinophil counts;Eosinophil counts;Eosinophill count;Sum eosinophil basophil counts	EFO_0004842;EFO_0009389	0.2945;0.1653;0.1957;0.187;0.1484;0.1575	1.236;1.0065;1.2705;1.2987;1.1704;1.0097	0.260148669047197;0.194339915873898;0.211651567826577;0.206659317613164;0.181163532798982;0.188906036322512	0.297400709	0.999889854259172;0.997008329221936;0.997928164709182;0.996798534143915;0.980905192549148;0.992838842263395	Eosinophil count	1.0065	1.2987	1.201
./305	3	NEALE2_30300_raw;NEALE2_30290_raw;NEALE2_30240_raw	High light scatter reticulocyte count;High light scatter reticulocyte percentage;Reticulocyte percentage	;EFO_0007986	0.1495;0.0655;0.0568	1.1345;1.0571;1.0504	0.504626118636476;0.332367439456785;0.305870409210233	0.12295113	0.997729559655685;0.992799458748602;0.981131019597869	Reticulocyte count	1.0504	1.1345	1.1494
./308	2	GCST006908;GCST006906	Ischemic stroke;Stroke	HP_0002140;EFO_0000712	0.0135;0.0129	1.0251;1.0377	0.519434193031512;0.507484803676589	0.013760004	0.994424338963962;0.993885333238146	Stroke	1.0251	1.0377	1.0459
./31	3	NEALE2_4290_raw;NEALE2_4291;NEALE2_20018	Duration screen displayed;Number of attempts;Prospective memory result	;EFO_0004333	0.0582;0.0591;0.0578	1.0021;1.0075;1.0099	0.372818165338677;0.377000960775859;0.374791292514917	0.07283367	0.989258288730591;0.992711017175604;0.997929126157133	Prospective memory	1.0021	1.0099	1.0486
./318	2	NEALE2_135;NEALE2_2492	Number of self-reported non-cancer illnesses;Taking other prescription medications	EFO_0009801;	0.065;0.0456	1.0254;1.0182	0.644317785786423;0.531454221514252	0.07414751	0.98648867638191;0.971476060048334	Medical conditions and medications	1.0182	1.0254	1.0519
./319	3	GCST90002409;GCST001475;NEALE2_1687	Childhood body mass index;Obesity;Comparative body size at age 10	EFO_0004340;EFO_0001073;EFO_0009819	0.2301;0.4044;0.1343	1.0026;0.9254;1.0606	0.485678314333553;0.631437328144324;0.339530744562006	0.559010775	1.0095087382247;0.990020888693481;0.923763458558613	Body measurements for obesity	0.9254	1.0606	0.9247
./320	3	NEALE2_5012;NEALE2_4968;NEALE2_5699	Chained arithmetic | fi8;Positional arithmetic | fi4;Arithmetic sequence recognition | fi10	;EFO_0004337	0.1068;0.0682;0.1506	1.0009;1.0042;0.9995	0.492263349922989;0.386234434951747;0.597812016894056	0.234496706	0.974021033124124;0.956346476979657;0.996113012709441	Mathematics skills	0.9995	1.0042	1.0019
./324	3	NEALE2_30110_raw;GCST90002401;GCST004616	Platelet distribution width;Platelet distribution width;Platelet distribution width	EFO_0007984	0.1917;0.2198;0.1753	1.1835;1.2314;0.9936	0.408701069499115;0.436064858704737;0.387975056558261	0.294111594	0.99708423213442;0.993514880175895;0.989805762103841	Platelet distribution width	0.9936	1.2314	1.2179
./329	2	GCST006098;NEALE2_904	Vigorous physical activity;Number of days/week of vigorous physical activity 10+ minutes	EFO_0008002;EFO_0003940	0.0537;0.0361	1.0305;1.0206	0.607652499975088;0.491465573940895	0.053130976	0.989594457501144;0.976177085692627	Physical activity	1.0206	1.0305	1.0671
./33	3	GCST009979;NEALE2_20500;NEALE2_20441	Major depressive disorder;Ever suffered mental distress preventing usual activities;Ever had prolonged loss of interest in normal activities	EFO_0003761;EFO_0007781;	0.0872;0.0607;0.0661	1.0032;1.009;0.9897	0.462638029143978;0.380706700854461;0.398593433471916	0.109017099	0.998913477427738;0.985237563152762;0.988494360601901	Depression symptoms	0.9897	1.009	1.0545
./334	2	NEALE2_2050;NEALE2_2060	Frequency of depressed mood in last 2 weeks;Frequency of unenthusiasm / disinterest in last 2 weeks	EFO_0004247	0.0422;0.0378	1.0024;1.0126	0.583786656316184;0.550978071240307	0.050312177	0.989213307055116;0.986462149050817	Depression and disinterest symptoms	1.0024	1.0126	1.0445
./344	2	NEALE2_20446;NEALE2_20421	Ever had prolonged feelings of sadness or depression;Ever felt worried, tense, or anxious for most of a month or longer	MONDO_0002050;EFO_0005230	0.0578;0.0564	0.9979;0.9922	0.612397194278711;0.604412191902472	0.081761932	0.983809556176086;0.98295905510748	Depression and anxiety symptoms	0.9922	0.9979	1.0264
./347	5	GCST006696;GCST006698;GCST006699;GCST006697;GCST006702	Parental longevity (mother's attained age);Parental longevity (both parents in top 10%);Parental longevity (mother's age at death);Parental longevity (combined parental attained age, Martingale residuals);Parental longevity (combined parental age at death)	EFO_0007796	0.017;0.0657;0.0223;0.0323;0.0359	1.0861;1.058;1.0582;1.0905;1.0635	0.197171203129216;-0.388212494470035;-0.224372951196964;0.267457347337927;-0.284526807338169	0.067375532	1.00028020280749;-1.00181947920806;-0.993849712573738;0.984364446680318;-0.993295834230842	Parental longevity	1.058	1.0905	1.147
./348	2	NEALE2_20111_100;NEALE2_20111_8	None of the above (group 1) | illnesses of siblings;High blood pressure | illnesses of siblings	;EFO_0004325	0.0376;0.0363	1.0103;1.0072	0.555318673008323;-0.545040401385891	0.043438767	0.985848873290957;-0.984775811990553	Sibling medical history	1.0072	1.0103	1.0458
./349	3	GCST006948;GCST006478;NEALE2_1970	Feeling nervous;Worry;Nervous feelings	EFO_0009597;EFO_0009589;EFO_0007803	0.0613;0.0888;0.0626	1.0175;1.0211;1.0218	0.347082060526975;0.413676768938599;0.349678265920498	0.085557492	0.990758308952788;0.981116191946432;0.987750519091383	Nervousness and worry	1.0175	1.0218	1.0593
./35	6	NEALE2_23119_raw;NEALE2_23115_raw;NEALE2_23111_raw;NEALE2_23127_raw;NEALE2_23123_raw;NEALE2_23099_raw	Arm fat percentage (right);Leg fat percentage (left);Leg fat percentage (right);Trunk fat percentage;Arm fat percentage (left);Body fat percentage	EFO_0007800	0.2028;0.2148;0.2139;0.2003;0.2076;0.2131	1.1163;1.1353;1.1328;1.1224;1.1127;1.1276	0.176405858023066;0.180494525193364;0.179894608077051;0.173585468973984;0.178522495761328;0.183408349469632	0.230454053	0.980954039749604;0.975251276036942;0.974052547929974;0.971275703293804;0.981180497933538;0.99494027217289	Body fat percentage	1.1127	1.1353	1.1927
./353	3	GCST90014023;GCST90000529;GCST90013791	Type 1 diabetes;Type 1 diabetes;Type 1 diabetes	MONDO_0005147;EFO_0001359	0.0299;0.4927;0.0684	1.0726;1.0197;0.9938	0.184992516259147;0.741984464196055;0.239785814435133	0.367453235	1.00973741497401;0.997684934806963;0.865337091490444	Type 1 diabetes cluster	0.9938	1.0726	1.0328
./370	3	NEALE2_22606_2;NEALE2_22609_2;NEALE2_4825	Often | workplace very noisy;Often | workplace very dusty;Noisy workplace	""	0.0462;0.0351;0.0562	1.0091;1.01;1.0163	0.498645809465285;0.427325873757101;0.542013802909221	0.096925117	0.996164302107578;0.979411997699512;0.98175241290467	Noisy workplace cluster	1.0091	1.0163	1.0289
./38	9	GCST90002398;GCST004614;NEALE2_30140_raw;GCST90025977;GCST004613;GCST004620;GCST90002351;GCST004629;GCST004626	Neutrophil count;Granulocyte count;Neutrophill count;Neutrophil count;Sum neutrophil eosinophil counts;Sum basophil neutrophil counts;Neutrophil count;Neutrophil count;Myeloid white cell count	EFO_0004833;EFO_0007987;EFO_0009390;EFO_0009388;EFO_0007988	0.1672;0.1573;0.1337;0.2563;0.1565;0.1568;0.1539;0.156;0.1617	1.2299;0.9758;1.1466;1.1781;0.9755;0.9731;1.2592;0.973;0.9787	0.137145152983646;0.133028274013573;0.118048503562851;0.169667729110963;0.132725395675326;0.132791243771827;0.131150101101556;0.132443876721344;0.134342269528897	0.248092687	0.998755038407959;0.998794751413304;0.961371933271783;0.997979454536887;0.999064469875708;0.998603458882211;0.995510800840903;0.998541781742733;0.994842493518559	Neutrophil count cluster	0.973	1.2592	1.0707
./380	2	NEALE2_1950;GCST006951	Sensitivity / hurt feelings;Feeling hurt	EFO_0007803;EFO_0009599	0.0608;0.0593	1.0216;1.0188	0.521836413384328;0.515329342029951	0.064450542	0.998877983152477;0.998820331972893	Feeling hurt cluster	1.0188	1.0216	1.0352
./386	2	NEALE2_4548;NEALE2_20459	Health satisfaction;General happiness with own health	EFO_0009724;	0.0839;0.0764	1.0023;1.0087	0.659880573682805;0.627901438736666	0.129186162	0.986892653295167;0.984079878759744	General happiness with own health cluster	1.0023	1.0087	0.9933
./390	4	SAIGE_726;FINNGEN_R6_M13_ROTATORCUFF;FINNGEN_R6_M13_SHOULDER;SAIGE_726_1	Peripheral enthesopathies and allied syndromes;Rotator cuff syndrome;Shoulder lesions;Enthesopathy	;EFO_1001250;EFO_0009676;EFO_0009666	0.0147;0.0179;0.0216;0.01	1.0011;1.0631;1.0761;1.0015	0.34716169677642;0.385350265996641;0.423307558466326;0.285532788596171	0.033917424	0.995466031831646;1.00134205858913;1.00134205858913;0.992680057227224	Enthesopathy cluster	1.0011	1.0761	1.0287
./394	2	GCST007432;NEALE2_20154_raw	FEV1;Forced expiratory volume in 1-second (fev1), predicted percentage	EFO_0004314	0.1943;0.1867	1.05;1.0366	0.590345012685807;0.578412562065662	0.257257373	0.994464458336314;0.99399757632758	Forced expiratory volume cluster	1.0366	1.05	1.078
./396	2	NEALE2_1707_2;NEALE2_1707_1	Left-handed | handedness (chirality/laterality);Right-handed | handedness (chirality/laterality)	EFO_0003889	0.0103;0.0093	1.0033;1.0079	0.528646232016462;-0.501457628665893	0.010235433	0.992579178896468;-0.990857955137322	Handedness cluster	1.0033	1.0079	1.0208
./397	3	GCST90002400;NEALE2_30090_raw;GCST004607	Plateletcrit;Platelet crit;Plateletcrit	EFO_0007985	0.252;0.1964;0.2168	1.3142;1.2126;1.0114	0.436742793874109;0.384349179025948;0.40673505787343	0.333501454	0.997076062765373;0.993935102038752;1.0011168724905	Plateletcrit cluster	1.0114	1.3142	1.2534
./4	4	NEALE2_30280_raw;GCST90002387;GCST90025971;GCST004628	Immature reticulocyte fraction;Immature fraction of reticulocytes;Immature fraction of reticulocytes;Immature fraction of reticulocytes	EFO_0009253;EFO_0010700;EFO_0007986	0.128;0.1441;0.2451;0.1327	1.1134;1.1675;1.118;0.9944	0.26241507820785;0.293785634400854;0.385390986353521;0.281009661978964	0.241187598	0.941333084945025;0.993248887994779;0.999055050368988;0.990023066423751	Immature fraction of reticulocytes cluster	0.9944	1.1675	1.1744
./40	10	NEALE2_4123_raw;NEALE2_3148_raw;NEALE2_4105_raw;NEALE2_3147_raw;NEALE2_4120_raw;NEALE2_3144_raw;GCST006979;GCST90025982;GCST006288;NEALE2_4124_raw	Heel quantitative ultrasound index (qui), direct entry (right);Heel bone mineral density (bmd);Heel bone mineral density (bmd) (left);Heel quantitative ultrasound index (qui), direct entry;Heel broadband ultrasound attenuation (right);Heel broadband ultrasound attenuation, direct entry;Heel bone mineral density;Heel bone mineral density T score;Heel bone mineral density;Heel bone mineral density (bmd) (right)	EFO_0004514;EFO_0009270	0.246;0.2384;0.2431;0.2361;0.2225;0.2181;0.2798;0.4215;0.3506;0.2491	1.0573;1.1279;1.0555;1.1263;1.0554;1.1151;1.3433;1.3345;1.1277;1.057	0.141297137230292;0.139303248748412;0.139222798053649;0.138658315570796;0.132835390590228;0.131302690072699;0.150563880919094;0.18158178358575;0.168666071083839;0.142102449794786	0.580428356	0.999504318434676;1.00098365259228;0.990687638323076;1.00119066601472;0.988024365988425;0.986426331178327;0.998655759501683;0.981278658706354;0.999402975785292;0.998926574538563	Heel bone mineral density cluster	1.0554	1.3433	1.1954
./402	5	SAIGE_562;GCST90038682;FINNGEN_R6_K11_DIVERTIC;NEALE2_20002_1458;SAIGE_562_1	Diverticulosis and diverticulitis;Diverticular disease;Diverticular disease of intestine;Diverticular disease/diverticulitis | non-cancer illness code, self-reported;Diverticulosis	EFO_1001460;EFO_0009959;	0.0361;0.0118;0.0228;0.0124;0.0361	1.0246;0.9771;1.0845;0.9945;1.0231	0.379128518560691;0.205071935037174;0.306461709386878;0.212006542229348;0.37915538674277	0.054299137	0.992650572691715;0.939136608896557;1.00965346655294;0.947113364403777;0.992720920120155	Diverticular disease cluster	0.9771	1.0845	0.9961
./403	2	GCST004988;SAIGE_174	Breast cancer;Breast cancer	EFO_0000305;MONDO_0007254	0.2179;0.0137	1.1053;1.0235	0.957176418820379;0.240006862237614	0.225529762	1;1	Breast cancer cluster	1.0235	1.1053	1.0941
./407	2	NEALE2_5262_raw;NEALE2_5254_raw	Intra-ocular pressure, corneal-compensated (left);Intra-ocular pressure, corneal-compensated (right)	EFO_0004695	0.1171;0.1101	1.0176;1.0134	0.603600562688219;0.585008887006832	0.159337662	0.996496566359899;0.996032300073945	Intra-ocular pressure cluster	1.0134	1.0176	1.0556
./408	2	NEALE2_20111_12;NEALE2_20110_12	Severe depression | illnesses of siblings;Severe depression | illnesses of mother	MONDO_0002050	0.0145;0.0095	1.0041;1.007	0.730086564395616;0.5909519333598	0.021174014	1;1	Severe depression cluster	1.0041	1.007	1.0023
./409	2	SAIGE_574;SAIGE_574_1	Cholelithiasis and cholecystitis;Cholelithiasis	EFO_0004799	0.0187;0.0159	1.0221;1.0234	0.533183613474681;0.491648312104967	0.018199698	1;1	Cholelithiasis cluster	1.0221	1.0234	1.0345
./411	3	NEALE2_23110_raw;NEALE2_23106_raw;NEALE2_23109_raw	Impedance of arm (left);Impedance of whole body;Impedance of arm (right)	""	0.2086;0.2346;0.2058	1.1589;1.1691;1.1421	0.348861437388257;0.365259262477344;0.345957171373913	0.237526215	0.993221739370041;0.98059039931177;0.991630909091124	Impedance cluster	1.1421	1.1691	1.2071
./413	2	NEALE2_20544_15;GCST90038651	Anxiety, nerves or generalized anxiety disorder | mental health problems ever diagnosed by a professional;Anxiety or panic attacks	EFO_0005230;EFO_0004262, EFO_0005230	0.0352;0.0064	0.9965;0.9832	0.8964687969233;0.362622702988337	0.038186126	0.998469171907366;0.94718719487707	Anxiety or panic attacks cluster	0.9832	0.9965	0.9906
./415	2	SAIGE_535;SAIGE_530_11	Gastritis and duodenitis;Gerd	EFO_0000217;EFO_0003948	0.0156;0.0113	1.0211;1.0182	0.700172816113529;0.595912050837221	0.02274	1;1	Gastritis and duodenitis cluster	1.0182	1.0211	1.0213
./421	2	NEALE2_6179_100;NEALE2_6179_1	None of the above | mineral and other dietary supplements;Fish oil (including cod liver oil) | mineral and other dietary supplements	""	0.0297;0.026	1.0126;1.0095	0.556759025853233;-0.519474691261761	0.031648937	0.991207322023097;-0.988446526335616	Fish oil and mineral supplements cluster	1.0095	1.0126	1.0422
